range,surface_offset_mm,z_shift_mm,piece,rmse_mm,mae_mm,max_error_mm,points,winner
full,0.1,-0.15000000000000002,Queen,0.2504753264093923,0.2216254756832436,0.9067130036794371,233,0
full,0.1,-0.10000000000000003,Pawn,1.446295354243713,1.2201525911524973,2.122659861303399,234,0
full,0.1,-0.10000000000000003,Bishop,0.1848598185307365,0.1555226986986769,0.9829983897085608,234,1
full,0.1,-0.10000000000000003,Queen,0.26606782042136745,0.23796860688404523,0.7730000000000015,234,0
full,0.1,-0.050000000000000044,Pawn,1.4187865521016587,1.194556369359266,2.079551053632702,235,0
full,0.1,-0.050000000000000044,Bishop,0.19173971655480482,0.16636365451950577,1.0543348082566606,234,1
full,0.1,-0.050000000000000044,Queen,0.285583623967519,0.25475955484699,0.7730000000000015,234,0
full,0.1,-5.551115123125783e-17,Pawn,1.389450891348481,1.166205295019933,2.054659861303394,235,0
full,0.1,-5.551115123125783e-17,Bishop,0.20059470328173148,0.18146990173158048,0.8009983897085622,235,1
full,0.1,-5.551115123125783e-17,Queen,0.30697282737737674,0.2710793787696453,0.858754379072062,235,0
full,0.1,0.04999999999999993,Pawn,1.362032931344701,1.140759681353506,2.0115510536326973,236,0
full,0.1,0.04999999999999993,Bishop,0.21690338808995543,0.19709543805948807,0.8063348082566577,235,1
full,0.1,0.04999999999999993,Queen,0.3316919339488986,0.28779887589019476,1.020999999999999,235,0
full,0.1,0.09999999999999992,Pawn,1.3328028047659433,1.1125287386851028,1.985659861303395,236,0
full,0.1,0.09999999999999992,Bishop,0.2312184625610782,0.2121930971515112,0.5934754139678127,235,1
full,0.1,0.09999999999999992,Queen,0.3577230468133247,0.3059059199583546,1.0407543790720606,236,0
full,0.1,0.1499999999999999,Pawn,1.3041596994247233,1.0850176097838995,1.9425510536327018,236,0
