line,z,x1,y1,z1,x2,y2,z2,e1,e2,delta_e,xy_distance,xyz_distance
225,0.45,77.316,54.128,0.45,61.628,69.816,0.45,25.31876,27.66918,2.3504199999999997,22.18618236650912,22.18618236650912
226,0.45,61.628,69.816,0.45,60.451,69.816,0.45,27.66918,27.79384,0.12465999999999866,1.1769999999999996,1.1769999999999996
227,0.45,60.451,69.816,0.45,77.316,52.951,0.45,27.79384,30.32055,2.5267100000000013,23.85071172942225,23.85071172942225
228,0.45,77.316,52.951,0.45,77.316,51.774,0.45,30.32055,30.44521,0.12465999999999866,1.1769999999999996,1.1769999999999996
229,0.45,77.316,51.774,0.45,59.274,69.816,0.45,30.44521,33.1482,2.7029900000000033,25.515241092335383,25.515241092335383
230,0.45,59.274,69.816,0.45,58.098,69.816,0.45,33.1482,33.27286,0.12465999999999866,1.176000000000002,1.176000000000002
231,0.45,58.098,69.816,0.45,77.316,50.598,0.45,33.27286,36.15215,2.8792899999999975,27.178356241686146,27.178356241686146
232,0.45,77.316,50.598,0.45,77.316,49.421,0.45,36.15215,36.2768,0.12465000000000259,1.1769999999999996,1.1769999999999996
233,0.45,77.316,49.421,0.45,56.921,69.816,0.45,36.2768,39.33238,3.055579999999999,28.842885604599278,28.842885604599278
234,0.45,56.921,69.816,0.45,55.744,69.816,0.45,39.33238,39.45704,0.12465999999999866,1.1769999999999996,1.1769999999999996
235,0.45,55.744,69.816,0.45,77.316,48.244,0.45,39.45704,42.68891,3.2318700000000007,30.50741496751241,30.50741496751241
236,0.45,77.316,48.244,0.45,77.316,47.067,0.45,42.68891,42.81356,0.12465000000000259,1.1769999999999996,1.1769999999999996
237,0.45,77.316,47.067,0.45,54.567,69.816,0.45,42.81356,46.22172,3.408159999999995,32.17194433042554,32.17194433042554
238,0.45,54.567,69.816,0.45,53.391,69.816,0.45,46.22172,46.34637,0.12465000000000259,1.176000000000002,1.176000000000002
239,0.45,53.391,69.816,0.45,77.316,45.891,0.45,46.34637,49.93082,3.584449999999997,33.835059479776305,33.835059479776305
240,0.45,77.316,45.891,0.45,77.316,44.714,0.45,49.93082,50.05548,0.12466000000000577,1.1769999999999996,1.1769999999999996
241,0.45,77.316,44.714,0.45,52.214,69.816,0.45,50.05548,53.81621,3.7607299999999952,35.499588842689434,35.49958884268944
242,0.45,52.214,69.816,0.45,51.037,69.816,0.45,53.81621,53.94087,0.12465999999999866,1.1769999999999996,1.1769999999999996
243,0.45,51.037,69.816,0.45,77.316,43.537,0.45,53.94087,57.87789,3.937020000000004,37.16411820560257,37.16411820560257
244,0.45,77.316,43.537,0.45,77.316,42.361,0.45,57.87789,58.00255,0.12465999999999866,1.176000000000002,1.176000000000002
245,0.45,77.316,42.361,0.45,49.861,69.816,0.45,58.00255,62.11586,4.1133099999999985,38.827233354953336,38.827233354953336
246,0.45,49.861,69.816,0.45,48.704,69.796,0.45,62.11586,62.23842,0.12256,1.1571728479358612,1.1571728479358612
